zuj,orp,cnt,x,y,name
576999,5107,316,994999.169620253,668396.534588607,Benešov u Semil
541192,3211,72,1078907.0947222228,807002.872361111,Nevid
568228,8109,384,1090028.999348958,473884.49369791703,Darkovice
537829,6103,56,1105109.1110714287,685199.0619642857,Proseč
595535,6101,326,1126642.3344171778,623500.5706748466,Dolní Rožínka
566063,4207,134,1001294.7903731341,787113.8768656716,Břvany
572110,5304,122,1073158.7036885244,637918.382704918,Přestavlky
548669,5202,116,1033145.5206034489,625508.5725000004,Rohenice
592013,7207,651,1175511.33095238,535862.5620737328,Babice
587826,6105,54,1128380.739814815,658044.610925926,Rybné
538892,2122,561,1058484.513101605,725039.2943672007,Tehov
530492,2101,323,1071673.7398142423,723718.8196904027,Přestavlky u Čerčan
572357,5307,147,1089914.7331292517,618379.0399999999,Desná
585238,7209,42,1176416.4800000004,505247.6426190478,Haluzice
551830,3101,162,1113488.135802468,787372.4201234564,Škvořetice
500623,7105,515,1106448.194718447,565510.269650486,Bílá Lhota
503142,7110,293,1110020.8852901033,535279.5566552897,Jívová
531367,2104,77,1077549.4802597405,675858.541948052,Adamov
544370,7212,553,1170125.6223327315,493403.4144846296,Lidečko
560430,3112,87,1125704.7577011492,736801.9190804597,Zhoř u Tábora
560421,4107,157,1016500.5278343952,877023.9259235671,Kaceřov
